parameter,shape,volume,sparse volume,sparsity level
features.module.0.weight,"(64, 3, 3, 3)",1728,1728,0.0
features.module.3.weight,"(128, 64, 3, 3)",73728,73728,0.0
features.module.6.weight,"(256, 128, 3, 3)",294912,294912,0.0
features.module.8.weight,"(256, 256, 3, 3)",589824,589824,0.0
features.module.11.weight,"(512, 256, 3, 3)",1179648,1179646,0.00016954210069197728
features.module.13.weight,"(512, 512, 3, 3)",2359296,2359296,0.0
features.module.16.weight,"(512, 512, 3, 3)",2359296,2359296,0.0
features.module.18.weight,"(512, 512, 3, 3)",2359296,2359296,0.0
classifier.weight,"(100, 512)",51200,51200,0.0
